"inc_code","category","subcategory"
"28091","malicious mischief","vandalism"
"28092","malicious mischief","vandalism"
"28100","malicious mischief","vandalism"
"28102","malicious mischief","vandalism"
"28103","malicious mischief","vandalism"
"28110","malicious mischief","vandalism"
"28120","malicious mischief","vandalism"
"28130","malicious mischief","vandalism"
"28135","malicious mischief","other"
"28136","malicious mischief","other"
"28140","malicious mischief","vandalism"
"28150","malicious mischief","vandalism"
"28160","malicious mischief","vandalism"
"28161","malicious mischief","vandalism"
"28164","malicious mischief","vandalism"
"28165","malicious mischief","vandalism"
"28166","malicious mischief","vandalism"
"28167","malicious mischief","vandalism"
"28168","malicious mischief","vandalism"
"28169","malicious mischief","vandalism"
"28170","malicious mischief","other"
"28180","malicious mischief","other"
"28181","malicious mischief","other"
"29010","malicious mischief","other"
"29020","malicious mischief","other"
"29030","juvenile offenses","other"
"29040","juvenile offenses","other"
"29050","juvenile offenses","runaway"
"29060","juvenile offenses","other"
"29070","juvenile offenses","other"
"29080","liquor laws","liquor law violation"
"29081","liquor laws","liquor law violation"
"29082","juvenile offenses","other"
"29083","juvenile offenses","other"
"29090","juvenile offenses","other"
"29100","juvenile offenses","runaway"
"29110","juvenile offenses","family offenses"
"29120","juvenile offenses","other"
"29130","juvenile offenses","family offenses"
"29170","juvenile offenses","family offenses"
"30000","other offenses","other"
"30001","other offenses","other"
"30003","other offenses","other"
"30004","other offenses","other"
"30005","other offenses","other"
"30006","other offenses","other"
"30007","other offenses","other"
"30008","other offenses","other"
"30009","other offenses","other"
"30010","other offenses","other"
"30011","other offenses","other"
"30020","other offenses","other"
"30030","other offenses","other"
"30040","other offenses","other"
"30050","other offenses","other"
"30060","other offenses","other"
"30070","other offenses","other"
"30080","other offenses","other"
"30090","other offenses","other"
"30100","other offenses","other"
"30105","other offenses","other"
"30110","other offenses","other"
"30120","other offenses","other"
"30130","other offenses","other"
"30131","other offenses","other"
"30132","other offenses","other"
"30140","other offenses","other"
"30150","other offenses","other"
"30155","other offenses","other"
"30160","other offenses","other"
"30170","other offenses","other"
"30180","other offenses","other"
"30190","other offenses","other"
"30191","other offenses","other"
"30192","other offenses","other"
"30200","other offenses","other"
"30205","other offenses","other"
"30206","other offenses","other"
"30210","other offenses","other"
"30220","other offenses","other"
"31000","other offenses","other"
"51010","non-criminal","non-criminal"
"51020","non-criminal","non-criminal"
"51030","non-criminal","non-criminal"
"51040","non-criminal","non-criminal"
"51041","non-criminal","non-criminal"
"51050","non-criminal","non-criminal"
"60010","suicide","suicide"
"60020","suicide","suicide"
"60030","suicide","suicide"
"60040","suicide","suicide"
"60050","suicide","suicide"
"60060","suicide","suicide"
"60070","suicide","suicide"
"60080","suicide","suicide"
"60090","suicide","suicide"
"60110","suicide","suicide"
"60120","suicide","suicide"
"60130","suicide","suicide"
"60140","suicide","suicide"
"60150","suicide","suicide"
"60160","suicide","suicide"
"60170","suicide","suicide"
"60180","suicide","suicide"
"60190","suicide","suicide"
"61010","other","other"
"61020","other","other"
"61030","other","other"
"61040","other","other"
"61050","other","other"
"62010","warrant","warrant"
"62020","warrant","warrant"
"62030","warrant","warrant"
"62040","warrant","warrant"
"62050","warrant","warrant"
"62060","warrant","warrant"
"62070","warrant","other"
"62071","warrant","other"
"62072","warrant","other"
"63010","warrant","other"
"64000","civil sidewalks","other"
"64001","civil sidewalks","other"
"64002","civil sidewalks","other"
"64003","civil sidewalks","other"
"64010","non-criminal","other"
"64011","non-criminal","other"
"64012","non-criminal","other"
"64013","non-criminal","other"
"64014","non-criminal","other"
"64015","non-criminal","other"
"64016","non-criminal","other"
"64017","non-criminal","other"
"64018","non-criminal","other"
"64019","non-criminal","other"
"64020","non-criminal","other"
"64030","non-criminal","other"
"64040","other offenses","other offenses"
"64050","suspicious occ","suspicious occ"
"64060","suspicious occ","suspicious occ"
"64065","suspicious occ","suspicious occ"
"64070","suspicious occ","suspicious occ"
"64072","suspicious occ","suspicious occ"
"64080","suspicious occ","suspicious occ"
"64085","other miscellaneous","other"
"64090","other miscellaneous","suspicious occ"
"65010","traffic violation arrest","traffic violation arrest"
"65013","other miscellaneous","arrest"
